AF|+93 70,71,72,73,74,75,76,77,78,79
AL|+355 67,68,69
DZ|+213 5,6,7,9
AD|+376 3
AO|+244 91,92,93
AR|+54 9/15
AM|+374 41,43,44,55,77,91,93,94,95,96,97,98,99
AU|+61 4
AT|+43 650,660,664,676,680,677,681,688,699
AZ|+994 50,51,55,70,77,99
BH|+973 31,32,33,34,36,37,38,39
BD|+880 13,14,15,16,17,18,19
BY|+375 25,29,33,44
BE|+32 456,46,47,48,49
BR|+55 xx 6,7,8,9
CA|+1 (area codes)
CN|+86 13,14,15,16,17,18,19
EG|+20 10,11,12,15
FR|+33 6,7
DE|+49 151,152,155,157,159,160,162,163,170-179
GH|+233 20,23,24,26,27,28,50,54,55,56,57,59
IN|+91 6,7,8,9
ID|+62 811-819,821-823,851-859,878,895-899
IR|+98 901-903,91,92,93,99
IQ|+964 73,74,75,76,77,78,79
IT|+39 310-313,320-329,330-339,340-349,350-359,360-369,370-379,380-389,390-399
JP|+81 70,80,90
KE|+254 10,11,70,71,72,73,74,75,76,77,78
MX|+52 (area codes)
NG|+234 70,80,81,90
PK|+92 30,31,32,33,34
PH|+63 9
RU|+7 901-909,91,92,93,95,96,98
SA|+966 50,51,53,54,55,56,57,58,59
ZA|+27 60,71,72,73,74,76,78,79,81,82,83,84
KR|+82 10,11,16,17,18,19
ES|+34 6,7
TR|+90 50,53,54,55
UA|+380 50,63,66,67,68,73,91-99
AE|+971 50,52,53,54,55,56,58
GB|+44 71,72,73,74,75,76,77,78,79
US|+1 (area codes)
